job_title,company_name,exprice,job_description
Salesforce UI/UX Designer,Hitachi Ltd.,4-7 Yrs,Bachelors degree required with knowledge and experience designing for Salesforce platfo...
DB + Python + Cloud Engineer(GCP),Hitachi Ltd.,6-7 Yrs,Candidate should be a quick learner and must be a go-getter and problem solverHe should...
Associate Manager - Speech Analytics,Sutherland,7-10 Yrs,Role & responsibilities Sutherland is a digital transformation company focused on deli...
Procurement Lead - Manager,Adani Group,14-20 Yrs,Preferred candidate profile : . Qualification :: BE / B Tech (Full Time). Experience: 1...
Staff Consultant (UI / User Interface design),Nagarro,6-11 Yrs,"REQUIREMENTS: . All of these: Interface Design Strategy, UI Themes, High Fidelity Proto..."
"Opening For ""Business Executive"" For OTC division Location: Panipat",Lupin,2-4 Yrs,"Key responsibilities:To meet the assigned customers (Retailers, Stockists etc.) in the ..."
"Opening For ""Business Executive"" For OTC division Location: Jodhpur",Lupin,2-4 Yrs,"Key responsibilities:To meet the assigned customers (Retailers, Stockists etc.) in the ..."
Azure Data Engineer(Australian shift only- 5yrs exp),Tech Mahindra,5-10 Yrs,"Role: Data Engineer (4-8 year relevant exp). Primary skills: Advance SQL / DWH, Strong ..."
Openings For Angular Developer,Maverick Infotech,4-9 Yrs,"Hands on experience in Angular 13 Strong in HTML, CSS, Javascript / typescript"
"Opening For ""Business Executive"" For OTC division Location: Vadodara",Lupin,2-4 Yrs,"Key responsibilities:To meet the assigned customers (Retailers, Stockists etc.) in the ..."
ETL Tester,Tech Mahindra,6-10 Yrs,Should be able to perform end to end data validation across different data layersShould...
Vacancy For Production associate,Manpowergroup Services India,0-5 Yrs,ONLY FEMALE CANDIDATES CAN APPLY(Plz apply those who are ready to relocate in Bangalore...
Cognizant Hiring - Freshers,Cognizant,0-0 Yrs,. Job location - Work from home ( Only HYD location candidates ). Shift - Rotational. E...
Nutrition Sales Executive,Light Water Healthcare Limited,0-5 Yrs,"A Masters degree in Food Science and Nutrition with lower experience, or a Bachelors De..."
Photos Collection and Annotation (India),TELUS International,0-2 Yrs,Participants only see their own photos. Project schedule . Minimum 500 photos in Google...
Customer Care Executive,Teleperformance (TP),0-5 Yrs,Excellent comms required. . WORK FROM HOME . Working days - 5 days (Rotational). Salary...
Hiring For Reliance Jio - Contact HR Vaishnavi,Jio,0-1 Yrs,24*7 shift includes night or split shifts too Freshers can also apply for this position...
Franchise Dealer Associate,Teamlease Services Limited,0-1 Yrs,graduates preferred Experience: FreshersProfile: . Qualification: Minimum 12th standard...
Creative Writer - English || AI / LLM Project,Innodata India,0-5 Yrs,Job SummaryWe are seeking experienced and knowledgeable Subject Matter Experts (SMEs) i...
Electrical Engineering | Subject Matter Expert | WFH |,Endeavor Academy,0-1 Yrs,Location : Work from HomeAll Solutions must be typed on the portal with proper tool usa...
Mechanical Engineering | Subject Matter Expert | WFH |,Endeavor Academy,0-1 Yrs,Location : Work from HomeAll Solutions must be typed on the portal with proper tool usa...
Statistics & Probability | Hiring - Subject Matter Expert | WFH |,Endeavor Academy,0-1 Yrs,Location : Work from Home Statistics and Probability - M.sc in Maths / Statistics (70 I...
Chemistry/Physics | Subject Matter Expert | WFH,Endeavor Academy,0-1 Yrs,Location : Work from Home Chemistry - M.sc in Chemistry (60 INR / Solution) Physics - M...
Accounting/Finance/Economics | Subject Matter Expert | WFH |,Endeavor Academy,0-1 Yrs,Subject Matter Expert (SME) - Content FixerProject Department: Chegg Portal (STA Projec...
Boiler Operator,ISS India,Not specified,Not specified
Urgent Opening For Senior AWS DevOps Engineer (Remote),Intelliswift,5-10 Yrs,". Must have Skills -AWS DevOps, DevOps, AWS Glue, DBT, MSK, AWS, DevOps, Data migration..."
Urgent Opening For Sr. API Developer (Remote),Intelliswift,5-10 Yrs,". Must have Skills - API, Java / Python, AWS . Notice Period - Immediate joiners will b..."
AI Engineer,Intelliswift,8-13 Yrs,"Experience - 8+ years. Must Have skills : Python, Pyramid, Fast API, Pydantic, Pytest, ..."
Lead Graphic Designer,Aptara,7-12 Yrs,Preferred candidate profile Be digitally savvy and well versed with advanced design pro...
AWS DataBricks Lead @ Intelliswift - Remote,Intelliswift,6-11 Yrs,"Data Warehouse solutions using Databricks and Azure Stack, experience in SQL, Python an..."
Store Manager For Reliance Digital Store,Reliance Retail,5-10 Yrs, This role is responsible for managing the P&L and driving sales for the store through ...
Very Urgent - AWS Architect with Linux ( Immediate joiner),Bristlecone,6-11 Yrs,"As an AWS Architect with over 6+ years of experience, specializing in SAP environments,..."
Safety Trainer,Murugappa Group,10-10 Yrs,Minimum experience 10 yrs in Safety Training in that at least 7 years in Training. Good...
Loss and Prevention Officer,Reliance Retail,1-3 Yrs,- Candidate should also have the will along with ability to do a 8 hours shift. - Candi...
Sr. Engineer and Engineer - Mechanical / Piping,Jacobs,8-13 Yrs,"Scrutiny and certification of contractors RA bills and final bills, whenever requiredMo..."
We are hiring For Construction Manager For our sites.,Jacobs,18-28 Yrs,We are hiring for Construction Manager for our various sites pan India.The world needs ...
"Unit Delivery Head (Tech, Banking Sector, Thought Machine, Java, SAAS)",Techno Compass Consulting,10-20 Yrs,"- 10+ Years (Java, Cloud Arch. Pref. Angular, Ionic) - Exp. in Thought Machine - Delive..."
Analytics Engineer | Contractual | Permanent WFH/Remote,Techno Compass Consulting,4-8 Yrs,"3 months extendable contract Pref. domain in Pharma/Fintech & Banking Exp. in Redshift,..."
Space Planner (MAC / CAFM ),Sodexo,2-7 Yrs,"Participate in regular training around any required technologies / tools, e.g., CAFM - ..."
Product Manager Director,IKS HEALTH,10-20 Yrs,Role & responsibilities This is a very visible and hands-on Product Management Leadersh...
Sales Executive - ( Multiple Locations PAN India),Sun Pharma,2-5 Yrs,Prior experience in medical device is preferredInterested candidates please share your ...
We are hiring For Electrical Engineer For our site Jacobs.,Jacobs,6-11 Yrs,We are hiring for Field Services Engineer for our sites - Jacobs.Experience: 6-12 years...
Territory Manager B2B DTH Mumbai,Airtel,3-8 Yrs,"Full Time graduate, preferably MBA/ PGDM Skills RequiredPreferred candidate profile . E..."
Area Sales Manager For Generic portfolio For Mumbai location,Lupin,3-8 Yrs,(1) Graduate. (2) should be working in generic medicine sales profile. (3) Should be ha...
Course Designer - Permanent,PES Hr Services A Div Of Amal Infosystems,0-5 Yrs,Candidate Must Have Experince in - Articulate Storyline and Captivate Lector a to creat...
It Asset Management Analyst,Artech,1-2 Yrs,1+ years of experience in help-desk or desk-side support environment. Bachelors degree ...
Data Scientist,Brace Infotech,4-9 Yrs,At least 4+ years of relevant experience as a data scientist 2+ years of experience wor...
Senior Java Developer,Tangoe,5-7 Yrs,"The Senior Software Engineer will be responsible for the analysis, design, testing, deb..."
Sr Proposal Manager (PPA & GCD),Thermo Fisher Scientific,8-12 Yrs,Requirements: . Education and Experience: . Bachelors degree or equivalent and relevant...
User Experience Designer,Tecnotree,4-9 Yrs, Senior UX Designer (3 to 5 years relevant experience)PROFILE You will work in a design...
Localization Engineer,Pole To Win (PTW),4-7 Yrs,"Good knowledge of ASP, HTML, XML, parsing, validation, tag error fixing Experience with..."
Opening For Tech - SAP MDG Consultant With Ness Technologies,Ness,3-8 Yrs,. Job Title SAP MDG Consultant with CRM experience (Experience 3+ years)Experience in C...
Dynatrace Consultant ( Part-time ),Holding Hands People Management,3-6 Yrs,Dynatrace certification is an advantage
Sr Dotnet Engineer,Ness,7-10 Yrs,"Skills Required: . Should have experience in CI-CD pipeline, Build and deployment proce..."
Subject Matter Expert - Customer Support || Permanent Remote,Client of Sunrise Job Consultancy,2-5 Yrs,Looking for a Subject Matter expert in Customer Support. Should have excellent communic...
Freelance || Sr. Technical (IT) Recruitment Specialist || Remote,Sunrise Job Consultancy,5-10 Yrs,Utilize LinkedIn and personal database to secure top-tier talent Demonstrate expertise ...
Therapy Business Manager - GI Prima,Abbott,1-6 Yrs, Conduct market research and feasibility studies to analyze the viability of alt...
Associate - Vaccines,Abbott,1-5 Yrs, Area Business Planning: - Plan for monthly and quarterly business. - Plan for Trad...
Manager - Strategic Sales,Browserstack,8-12 Yrs,"As a people manager, you will be responsible to lead mentor a team of 8-12 Account Exec..."
Lead - US Payroll (Dayforce),Sutherland,2-7 Yrs,Ceridian experience (WFM and / or Payroll module) highly desired Preferred candidate pr...
Senior Territory Sales Incharge - GT - Kolkata,Brillon Consumer Products (Formerly known as SC Johnson),6-8 Yrs,Track availability of required manpower at DBs as per plan and monitor their performanc...
Team Lead,Startek,4-8 Yrs,Role & responsibilities Should be Aware about Shrinkage & Attrition.Should be aware abo...
Quality Analyst,Startek,3-6 Yrs,Role & responsibilities Expert in Quality DomainMust have 1.5 Years of Quality Analyst ...
Process Trainer,Startek,3-8 Yrs,Preferred candidate profile . Should be GraduateRole & responsibilities . Should be Awa...
Cattlefeed Sales - RSM /ASM (Sangli- Maharashtra),HERITAGE FOODS LIMITED,10-20 Yrs,Preferred candidate profile . Proven experience in sales management within the cattle f...
US Payroll Specialist,Sutherland,3-8 Yrs,"Hi There, Hiring for US Payroll.Looking for excellent communication skillsDetailed know..."
Hiring For Field Sales in Pharma Company in Delhi/UP/Punjab,Teamlease Services Limited,1-6 Yrs,Required experience - Previous experience in taking orders from chemist storesMinimum Q...
Sr. Key Account Executive - MT - Chandigarh,Brillon Consumer Products (Formerly known as SC Johnson),2-5 Yrs,". Education Graduate Must, MBA preferable4 years of experience in Key Accounts from the..."
Senior Quality Engineer,Sterling & Wilson,3-8 Yrs,Preferred candidate profile . East Region (Kolkata)Experience
Market Risk-Model Validation Pan India/WFH,Evalueserve,3-8 Yrs,Good experience in development / validation of derivatives pricing and market risk mode...
Analyst (User Experience designer),Nagarro,1-4 Yrs,"Creating prototypes using tools such as InDesign, Adobe XD as required"
Associate Director - SmartBuildings Business Consultant,Nagarro,14-19 Yrs,"Completion of post-graduate studies, preferably an MBAUtilize post-graduate studies, pr..."
Senior Specialist - Reporting and Analytics,NTT Data Information Processing Services,5-8 Yrs,Role & responsibilities Defines overall application functional / business requirements...
Pre Sales Solution Architect,IGT Solutions,12-16 Yrs,Experience in managing atleast 2 projects with team size of more than 40. Location: Rem...
Arabic Game Tester,IGT Solutions,4-6 Yrs,"Test games on various platforms, including consoles, PC, and mobile devices, to ensure ..."
DevOps Engineer (AWS) || Remote,IGT Solutions,3-8 Yrs,"Bachelors degree in computer science, Information Technology, or related fieldExperienc..."
Module Lead- Technical Support,IGT Solutions,8-12 Yrs,Bachelors degree8+ years of experience in technical support rolesProven experience in a...
UFT+Manual Professional,IGT Solutions,5-7 Yrs,Role Manual QA Experience- 5-7 Years Notice period: - Immediate joiner preferred (who c...
Java Module Lead || Immediate Joiner,IGT Solutions,8-12 Yrs,"Experience designing, integrating and managing complex software solutions Experience wi..."
Openings For Content Reviewing (Work from Home-3 months contract),Tech Mahindra,0-5 Yrs,"Role & responsibilities About This RoleYoull be part of a fast-paced, dynamic team rei..."
Pre sales | Field sales | Health Care | Bangalore,Reputed Client Of Manpower Group,0-2 Yrs,Experience: 0-2 Years . Education: Any Graduation . Passionate about sales. Good organi...
French and German (FIDE) language teacher,Global Lt,0-1 Yrs,Minimum of two years of experience . .
Digital Marketing Intern,Amity University,0-0 Yrs,Highly creative with experience in identifying target audiences and devising digital ca...
Hiring For Turkish Language Expert_WFH_7.75LPA,na,0-5 Yrs,"Candidates with certification in Turkish Language, Turkish Language trainers, Turkish L..."
Data Analyst,Lifecell,0-4 Yrs,Data Analyst who can stretch their hours to work for 10 Hours a day.
Sales Development Representative,Browserstack,0-2 Yrs,"Unlimited Time Off to ensure our people invest in their wellbeing, to rest and rejuvena..."
Branch Relationship Executive,Randstad,0-2 Yrs,Preferred candidate profile . Any Graduates or 12th qualification also prefering. Fresh...
Online Hungarian Teacher,Global Lt,0-4 Yrs,Minimum of two years experience
Online Dutch Teacher (Italian speaker),Global Lt,0-4 Yrs,Individual online classes for an 11-year-old boy: . . All Global LT instructor positio...
Field Sales Executive,Teamlease Services Limited,0-0 Yrs,Basic English is required. . Kannada is Mandatory.
Business Relationship Executive,Randstad,0-1 Yrs,Should have competitive attitudeShould have sharp sales chopsPreferred candidate profile
UPL,BOSCH DEVEOPS,0-2 Yrs,Test data
Tata Motors,BOSCH DEVEOPS,0-2 Yrs,Test data
Intern,Resilience Innovation Knowledge Academy,Not specified,Not specified
Field Sales Executive,Teamlease Services Limited,0-1 Yrs,Male & Female both candidate RequiredWe have an urgent job opportunity for Freshers (Pu...
